,SK_ID_CURR,TARGET
0,100004,
1,100006,0.0
2,100012,
3,100014,0.0
4,100015,0.0
5,100017,0.0
6,100018,0.0
7,100019,0.0
8,100030,0.0
9,100032,0.0
10,100034,
11,100035,0.0
12,100040,0.0
13,100043,
14,100045,0.0
15,100048,0.0
16,100049,1.0
17,100051,0.0
18,100055,
19,100058,
20,100059,0.0
21,100060,0.0
22,100062,0.0
23,100063,
24,100069,0.0
25,100071,0.0
26,100078,0.0
27,100086,0.0
28,100088,
29,100098,0.0
30,100100,0.0
31,100103,0.0
32,100104,0.0
33,100105,0.0
34,100112,
35,100113,0.0
36,100114,0.0
37,100119,0.0
38,100120,0.0
39,100121,0.0
40,100122,0.0
41,100126,
42,100133,0.0
43,100134,
44,100138,0.0
45,100139,0.0
46,100143,0.0
47,100148,0.0
48,100153,
49,100156,0.0
50,100157,
51,100159,0.0
52,100161,
53,100167,0.0
54,100175,
55,100176,0.0
56,100178,
57,100182,0.0
58,100186,
59,100188,
60,100192,1.0
61,100194,0.0
62,100197,0.0
63,100198,0.0
64,100200,0.0
65,100205,
66,100206,0.0
67,100208,
68,100209,1.0
69,100210,0.0
70,100211,0.0
71,100214,1.0
72,100215,
73,100217,
74,100218,0.0
75,100226,0.0
76,100228,0.0
77,100229,
78,100234,0.0
79,100238,0.0
80,100240,0.0
81,100242,
82,100246,1.0
83,100247,0.0
84,100254,0.0
85,100258,0.0
86,100260,0.0
87,100261,
88,100262,0.0
89,100267,0.0
90,100272,
91,100274,0.0
92,100276,0.0
93,100282,1.0
94,100285,0.0
95,100286,1.0
96,100288,0.0
97,100290,
98,100293,0.0
99,100296,0.0
100,100301,1.0
101,100305,0.0
102,100308,0.0
103,100314,0.0
104,100320,0.0
105,100321,0.0
106,100326,1.0
107,100335,0.0
108,100337,0.0
109,100339,0.0
110,100343,0.0
111,100347,0.0
112,100350,
113,100353,0.0
114,100357,0.0
115,100359,0.0
116,100361,0.0
117,100369,
118,100371,
119,100374,0.0
120,100376,0.0
121,100378,
122,100383,0.0
123,100387,
124,100388,0.0
125,100390,0.0
126,100392,0.0
127,100394,0.0
128,100395,0.0
129,100396,1.0
130,100397,0.0
131,100405,0.0
132,100407,0.0
133,100408,
134,100413,0.0
135,100417,0.0
136,100420,
137,100425,0.0
138,100431,
139,100436,0.0
140,100443,0.0
141,100449,0.0
142,100457,0.0
143,100461,0.0
144,100463,
145,100464,0.0
146,100465,0.0
147,100469,0.0
148,100472,1.0
149,100474,
150,100475,0.0
151,100480,0.0
152,100481,0.0
153,100482,
154,100485,1.0
155,100488,
156,100495,0.0
157,100497,0.0
158,100501,0.0
159,100506,0.0
160,100519,0.0
161,100521,
162,100522,0.0
163,100524,
164,100525,0.0
165,100526,0.0
166,100530,0.0
167,100532,0.0
168,100534,0.0
169,100537,0.0
170,100538,0.0
171,100539,0.0
172,100544,0.0
173,100546,
174,100554,0.0
175,100555,0.0
176,100558,
177,100563,0.0
178,100570,0.0
179,100571,0.0
180,100574,
181,100581,0.0
182,100586,0.0
183,100590,0.0
184,100595,0.0
185,100598,
186,100601,0.0
187,100606,
188,100609,0.0
189,100610,0.0
190,100611,0.0
191,100612,0.0
192,100616,1.0
193,100619,0.0
194,100621,0.0
195,100628,0.0
196,100633,0.0
197,100635,0.0
198,100640,0.0
199,100642,0.0
200,100646,1.0
201,100649,1.0
202,100650,
203,100652,
204,100658,0.0
205,100661,0.0
206,100671,0.0
207,100680,0.0
208,100681,0.0
209,100690,
210,100691,0.0
211,100692,0.0
212,100693,0.0
213,100695,0.0
214,100696,
215,100697,0.0
216,100700,0.0
217,100708,0.0
218,100709,
219,100710,0.0
220,100712,0.0
221,100723,0.0
222,100724,0.0
223,100728,
224,100732,0.0
225,100733,
226,100741,0.0
227,100743,0.0
228,100748,0.0
229,100749,0.0
230,100750,0.0
231,100759,0.0
232,100773,0.0
233,100789,
234,100793,0.0
235,100795,0.0
236,100796,1.0
237,100798,0.0
238,100800,0.0
239,100802,
240,100803,0.0
241,100805,
242,100806,
243,100807,0.0
244,100810,0.0
245,100811,
246,100815,0.0
247,100816,1.0
248,100819,0.0
249,100827,0.0
250,100828,0.0
251,100835,
252,100837,0.0
253,100842,
254,100843,0.0
255,100845,0.0
256,100846,0.0
257,100848,0.0
258,100850,0.0
259,100851,0.0
260,100852,0.0
261,100857,0.0
262,100874,
263,100877,0.0
264,100880,0.0
265,100888,
266,100890,0.0
267,100891,0.0
268,100892,0.0
269,100894,
270,100896,1.0
271,100899,
272,100900,0.0
273,100915,0.0
274,100922,0.0
275,100932,0.0
276,100941,0.0
277,100942,
278,100945,1.0
279,100947,0.0
280,100949,0.0
281,100950,0.0
282,100959,0.0
283,100964,0.0
284,100972,0.0
285,100977,0.0
286,100978,0.0
287,100980,0.0
288,100981,0.0
289,100991,0.0
290,100992,1.0
291,100994,0.0
292,101000,0.0
293,101001,0.0
294,101007,0.0
295,101012,0.0
296,101015,0.0
297,101029,
298,101030,
299,101035,0.0
300,101037,
301,101039,0.0
302,101043,0.0
303,101048,0.0
304,101052,0.0
305,101058,0.0
306,101060,
307,101065,
308,101066,0.0
309,101071,
310,101074,0.0
311,101078,0.0
312,101081,0.0
313,101086,0.0
314,101091,0.0
315,101110,0.0
316,101117,0.0
317,101127,1.0
318,101131,0.0
319,101133,0.0
320,101142,1.0
321,101144,0.0
322,101147,1.0
323,101151,
324,101152,0.0
325,101154,0.0
326,101155,0.0
327,101161,0.0
328,101164,
329,101165,1.0
330,101166,0.0
331,101171,0.0
332,101173,0.0
333,101175,0.0
334,101185,0.0
335,101196,
336,101201,1.0
337,101206,
338,101207,0.0
339,101212,
340,101215,0.0
341,101218,0.0
342,101219,0.0
343,101220,0.0
344,101221,0.0
345,101224,
346,101226,
347,101228,0.0
348,101233,0.0
349,101234,0.0
350,101240,0.0
351,101250,
352,101257,0.0
353,101263,
354,101265,
355,101273,0.0
356,101275,0.0
357,101283,0.0
358,101284,0.0
359,101288,
360,101306,0.0
361,101310,0.0
362,101321,
363,101325,0.0
364,101333,0.0
365,101334,0.0
366,101339,0.0
367,101340,
368,101342,0.0
369,101344,0.0
370,101349,
371,101358,0.0
372,101359,0.0
373,101361,0.0
374,101370,0.0
375,101375,0.0
376,101376,0.0
377,101384,0.0
378,101389,0.0
379,101391,0.0
380,101402,0.0
381,101403,0.0
382,101411,0.0
383,101413,
384,101414,
385,101415,0.0
386,101417,0.0
387,101418,
388,101419,
389,101430,0.0
390,101432,
391,101433,0.0
392,101438,
393,101441,0.0
394,101445,
395,101452,0.0
396,101453,0.0
397,101456,0.0
398,101461,
399,101462,
400,101471,0.0
401,101473,0.0
402,101474,1.0
403,101476,0.0
404,101479,0.0
405,101480,
406,101481,
407,101486,0.0
408,101491,0.0
409,101492,
410,101500,0.0
411,101501,0.0
412,101502,0.0
413,101509,
414,101510,
415,101519,0.0
416,101520,0.0
417,101521,0.0
418,101524,0.0
419,101525,0.0
420,101532,
421,101534,0.0
422,101541,1.0
423,101543,
424,101545,0.0
425,101546,0.0
426,101549,0.0
427,101554,0.0
428,101557,0.0
429,101558,0.0
430,101559,1.0
431,101560,0.0
432,101561,0.0
433,101562,0.0
434,101564,1.0
435,101566,0.0
436,101569,0.0
437,101574,1.0
438,101587,
439,101590,0.0
440,101591,0.0
441,101593,0.0
442,101594,0.0
443,101595,0.0
444,101600,0.0
445,101601,
446,101603,0.0
447,101604,
448,101605,0.0
449,101606,0.0
450,101609,0.0
451,101613,0.0
452,101626,0.0
453,101627,0.0
454,101637,0.0
455,101642,0.0
456,101647,0.0
457,101653,
458,101660,0.0
459,101661,0.0
460,101664,0.0
461,101670,
462,101690,0.0
463,101693,0.0
464,101696,0.0
465,101705,1.0
466,101706,0.0
467,101707,0.0
468,101708,0.0
469,101710,
470,101713,0.0
471,101718,0.0
472,101722,0.0
473,101730,1.0
474,101731,0.0
475,101735,0.0
476,101737,0.0
477,101738,0.0
478,101740,0.0
479,101741,
480,101744,
481,101746,0.0
482,101747,0.0
483,101752,0.0
484,101755,0.0
485,101761,0.0
486,101765,0.0
487,101766,0.0
488,101787,0.0
489,101790,0.0
490,101793,0.0
491,101794,0.0
492,101796,1.0
493,101797,0.0
494,101798,
495,101802,0.0
496,101803,
497,101806,0.0
498,101808,0.0
499,101823,
500,101826,0.0
501,101829,
502,101837,
503,101839,0.0
504,101841,0.0
505,101843,0.0
506,101844,0.0
507,101846,
508,101847,0.0
509,101848,0.0
510,101858,0.0
511,101859,1.0
512,101864,
513,101866,0.0
514,101875,0.0
515,101876,
516,101882,0.0
517,101888,0.0
518,101892,
519,101893,0.0
520,101902,
521,101904,0.0
522,101905,
523,101908,
524,101910,0.0
525,101919,0.0
526,101926,0.0
527,101927,
528,101928,
529,101929,1.0
530,101935,
531,101937,0.0
532,101941,
533,101942,0.0
534,101950,1.0
535,101951,0.0
536,101954,
537,101955,0.0
538,101956,0.0
539,101957,0.0
540,101958,0.0
541,101960,0.0
542,101980,1.0
543,101982,0.0
544,101983,1.0
545,101986,
546,101987,0.0
547,101994,0.0
548,101995,
549,102000,0.0
550,102001,0.0
551,102011,0.0
552,102015,0.0
553,102020,1.0
554,102021,
555,102027,
556,102028,
557,102031,
558,102032,0.0
559,102036,0.0
560,102040,0.0
561,102043,0.0
562,102046,0.0
563,102060,0.0
564,102061,0.0
565,102063,0.0
566,102074,
567,102081,0.0
568,102083,1.0
569,102085,0.0
570,102086,0.0
571,102087,0.0
572,102088,0.0
573,102089,
574,102093,
575,102094,0.0
576,102096,
577,102102,
578,102103,0.0
579,102124,0.0
580,102128,
581,102795,
582,102129,0.0
583,102130,0.0
584,102135,1.0
585,102140,0.0
586,102141,0.0
587,102142,0.0
588,102143,
589,102150,0.0
590,102152,0.0
591,102160,
592,102163,0.0
593,102164,
594,102169,0.0
595,102170,0.0
596,102175,
597,102178,
598,102179,0.0
599,102181,0.0
600,102182,0.0
601,102192,0.0
602,102195,
603,102196,0.0
604,102199,0.0
605,102203,0.0
606,102207,0.0
607,102208,1.0
608,102211,0.0
609,102212,
610,102224,0.0
611,102227,0.0
612,102233,0.0
613,102234,
614,102235,
615,102239,0.0
616,102244,
617,102246,0.0
618,102250,0.0
619,102251,0.0
620,102258,
621,102261,0.0
622,102268,0.0
623,102270,0.0
624,102271,
625,102277,0.0
626,102279,1.0
627,102284,0.0
628,102287,0.0
629,102289,
630,102291,0.0
631,102292,0.0
632,102299,0.0
633,102301,0.0
634,102304,0.0
635,102312,0.0
636,102313,0.0
637,102321,0.0
638,102326,0.0
639,102327,
640,102330,
641,102332,0.0
642,102333,0.0
643,102336,0.0
644,102348,0.0
645,102349,0.0
646,102350,
647,102355,0.0
648,102358,0.0
649,102359,0.0
650,102360,0.0
651,102361,0.0
652,102362,0.0
653,102363,0.0
654,102371,
655,102372,0.0
656,102381,0.0
657,102383,0.0
658,102384,0.0
659,102385,0.0
660,102386,0.0
661,102392,1.0
662,102397,0.0
663,102401,0.0
664,102406,
665,102411,
666,102412,0.0
667,102417,0.0
668,102418,0.0
669,102424,
670,102428,
671,102431,0.0
672,102433,0.0
673,102438,
674,102466,0.0
675,102472,0.0
676,102477,0.0
677,102485,0.0
678,102488,
679,102493,0.0
680,102496,0.0
681,102504,0.0
682,102505,
683,102513,0.0
684,102515,0.0
685,102516,0.0
686,102518,0.0
687,102524,1.0
688,102525,
689,102526,0.0
690,102530,0.0
691,102537,0.0
692,102540,0.0
693,102541,0.0
694,102546,0.0
695,102547,
696,102548,0.0
697,102550,0.0
698,102552,0.0
699,102553,0.0
700,102554,0.0
701,102565,0.0
702,102569,
703,102570,0.0
704,102572,0.0
705,102573,0.0
706,102574,1.0
707,102577,0.0
708,102578,1.0
709,102579,
710,102581,
711,102585,0.0
712,102590,
713,102591,0.0
714,102593,0.0
715,102595,
716,102599,
717,102602,0.0
718,102603,
719,102606,
720,102608,
721,102610,0.0
722,102616,
723,102619,0.0
724,102621,
725,102623,
726,102624,1.0
727,102625,0.0
728,102626,0.0
729,102631,0.0
730,102633,0.0
731,102636,0.0
732,102639,0.0
733,102643,0.0
734,102645,
735,102646,0.0
736,102651,0.0
737,102656,1.0
738,102663,
739,102667,0.0
740,102668,0.0
741,102670,
742,102677,0.0
743,102678,0.0
744,102679,1.0
745,102680,
746,102681,1.0
747,102686,0.0
748,102691,0.0
749,102705,0.0
750,102707,0.0
751,102709,
752,102718,0.0
753,102723,0.0
754,102730,0.0
755,102732,0.0
756,102734,0.0
757,102735,
758,102736,0.0
759,102737,0.0
760,102738,
761,102741,0.0
762,102747,0.0
763,102751,
764,102768,1.0
765,102769,0.0
766,102774,0.0
767,102777,0.0
768,102778,0.0
769,102779,0.0
770,102781,0.0
771,102785,0.0
772,102786,
773,102787,0.0
774,102788,0.0
775,102793,0.0
776,102796,
777,102803,0.0
778,102808,0.0
779,102812,0.0
780,102819,0.0
781,102821,0.0
782,102823,0.0
783,102824,0.0
784,102831,0.0
785,102834,0.0
786,102835,
787,102836,
788,102841,0.0
789,102842,0.0
790,102844,
791,102849,0.0
792,102850,0.0
793,102855,
794,102858,0.0
795,102865,
796,102873,0.0
797,102877,
798,102881,
799,102883,
800,102885,0.0
801,102888,
802,102890,0.0
803,102893,0.0
804,102899,
805,102906,0.0
806,102913,0.0
807,102928,0.0
808,102934,0.0
809,102936,0.0
810,102938,0.0
811,102941,1.0
812,102949,
813,102950,
814,102951,
815,102953,0.0
816,102956,0.0
817,102961,0.0
818,102962,0.0
819,102970,0.0
820,102972,0.0
821,102984,0.0
822,102986,0.0
823,102993,
824,102998,0.0
825,103006,
826,103007,0.0
827,103009,0.0
828,103015,0.0
829,103018,
830,103020,
831,103024,0.0
832,103026,0.0
833,103033,0.0
834,103043,0.0
835,103047,0.0
836,103048,0.0
837,103049,
838,103054,
839,103055,0.0
840,103057,
841,103058,0.0
842,103066,0.0
843,103080,0.0
844,103088,
845,103089,0.0
846,103091,0.0
